id,label,text,label_num
605,ham,Subject: ,0
2349,ham,Subject: ,0
3624,ham,Subject: ,0
4685,spam,Subject: ,1
2030,ham,Subject: ,0
2949,ham,Subject: ,0
2793,ham,Subject: ,0
4185,spam,Subject: ,1
2641,ham,Subject: ,0
1870,ham,Subject: ,0
4922,spam,Subject: ,1
3799,spam,Subject: ,1
1488,ham,Subject: ,0
3948,spam,Subject: ,1
3418,ham,Subject: ,0
4791,spam,Subject: ,1
2643,ham,Subject: ,0
3137,ham,Subject: ,0
1629,ham,Subject: ,0
1858,ham,Subject: ,0
3261,ham,Subject: ,0
3447,ham,Subject: ,0
2459,ham,Subject: ,0
2221,ham,Subject: ,0
4827,spam,Subject: ,1
1811,ham,Subject: ,0
2367,ham,Subject: ,0
2829,ham,Subject: ,0
3512,ham,Subject: ,0
441,ham,Subject: ,0
3403,ham,Subject: ,0
1746,ham,Subject: ,0
3551,ham,Subject: ,0
1054,ham,Subject: ,0
282,ham,Subject: ,0
4606,spam,Subject: ,1
890,ham,Subject: ,0
2313,ham,Subject: ,0
154,ham,Subject: ,0
310,ham,Subject: ,0
4167,spam,Subject: ,1
3881,spam,Subject: ,1
2951,ham,Subject: ,0
1778,ham,Subject: ,0
348,ham,Subject: ,0
1284,ham,Subject: ,0
3947,spam,Subject: ,1
4417,spam,Subject: ,1
4572,spam,Subject: ,1
577,ham,Subject: ,0
3928,spam,Subject: ,1
2846,ham,Subject: ,0
3511,ham,Subject: ,0
3439,ham,Subject: ,0
664,ham,Subject: ,0
2417,ham,Subject: ,0
3373,ham,Subject: ,0
1674,ham,Subject: ,0
3002,ham,Subject: ,0
1416,ham,Subject: ,0
4834,spam,Subject: ,1
3360,ham,Subject: ,0
3609,ham,Subject: ,0
2948,ham,Subject: ,0
3257,ham,Subject: ,0
2405,ham,Subject: ,0
1344,ham,Subject: ,0
996,ham,Subject: ,0
4431,spam,Subject: ,1
2445,ham,Subject: ,0
5162,spam,Subject: ,1
4261,spam,Subject: ,1
2104,ham,Subject: ,0
3308,ham,Subject: ,0
3914,spam,Subject: ,1
5108,spam,Subject: ,1
3653,ham,Subject: ,0
2152,ham,Subject: ,0
2918,ham,Subject: ,0
467,ham,Subject: ,0
3479,ham,Subject: ,0
165,ham,Subject: ,0
3105,ham,Subject: ,0
2022,ham,Subject: ,0
171,ham,Subject: ,0
4755,spam,Subject: ,1
358,ham,Subject: ,0
2669,ham,Subject: ,0
704,ham,Subject: ,0
3410,ham,Subject: ,0
3917,spam,Subject: ,1
4643,spam,Subject: ,1
4125,spam,Subject: ,1
4198,spam,Subject: ,1
4362,spam,Subject: ,1
2432,ham,Subject: ,0
2012,ham,Subject: ,0
2862,ham,Subject: ,0
4095,spam,Subject: ,1
2782,ham,Subject: ,0
479,ham,Subject: ,0
3575,ham,Subject: ,0
3458,ham,Subject: ,0
4315,spam,Subject: ,1
4867,spam,Subject: ,1
264,ham,Subject: ,0
4321,spam,Subject: ,1
308,ham,Subject: ,0
100,ham,Subject: ,0
5160,spam,Subject: ,1
4259,spam,Subject: ,1
111,ham,Subject: ,0
663,ham,Subject: ,0
463,ham,Subject: ,0
2904,ham,Subject: ,0
5140,spam,Subject: ,1
1246,ham,Subject: ,0
309,ham,Subject: ,0
2574,ham,Subject: ,0
315,ham,Subject: ,0
2708,ham,Subject: ,0
1814,ham,Subject: ,0
3361,ham,Subject: ,0
2225,ham,Subject: ,0
4718,spam,Subject: ,1
1833,ham,Subject: ,0
4635,spam,Subject: ,1
2729,ham,Subject: ,0
3755,spam,Subject: ,1
4857,spam,Subject: ,1
1450,ham,Subject: ,0
250,ham,Subject: ,0
1614,ham,Subject: ,0
2945,ham,Subject: ,0
5053,spam,Subject: ,1
3727,spam,Subject: ,1
2263,ham,Subject: ,0
4078,spam,Subject: ,1
3756,spam,Subject: ,1
5156,spam,Subject: ,1
3148,ham,Subject: ,0
4642,spam,Subject: ,1
2257,ham,Subject: ,0
2569,ham,Subject: ,0
4764,spam,Subject: ,1
1248,ham,Subject: ,0
220,ham,Subject: ,0
3704,spam,Subject: ,1
541,ham,Subject: ,0
201,ham,Subject: ,0
2625,ham,Subject: ,0
1429,ham,Subject: ,0
1998,ham,Subject: ,0
3103,ham,Subject: ,0
4592,spam,Subject: ,1
2552,ham,Subject: ,0
3030,ham,Subject: ,0
4837,spam,Subject: ,1
3837,spam,Subject: ,1
255,ham,Subject: ,0
674,ham,Subject: ,0
2571,ham,Subject: ,0
3748,spam,Subject: ,1
4010,spam,Subject: ,1
4072,spam,Subject: ,1
1878,ham,Subject: ,0
186,ham,Subject: ,0
2224,ham,Subject: ,0
957,ham,Subject: ,0
1709,ham,Subject: ,0
3605,ham,Subject: ,0
2939,ham,Subject: ,0
313,ham,Subject: ,0
754,ham,Subject: ,0
1681,ham,Subject: ,0
3998,spam,Subject: ,1
4528,spam,Subject: ,1
1755,ham,Subject: ,0
